"stock_name","common_name","stock_area","assessment_level","overfishing","overfished","scientific_name","last_assessment","model_category","catch_gap","abundance_gap","LH_gap","comp_gap","eco_gap","Region","Functional_group","Complexity.in.Reproductive.Strategy","Habitat.Specificity","Prey.Specificity","Exposure","Sensitivity","Winfinity","tmax","tm","Lm","Temperature","ln_var","rho","ln_MASPS","ln_margsd","h","logitbound_h","ln_Fmsy_over_M","ln_Fmsy","ln_r","ln_G","G","Fmsy_over_M","Fmsy","MASPS","margsd","Loo","K","M","r"
"Walleye pollock - Eastern Bering Sea","Walleye pollock","Eastern Bering Sea",4,"No","No","Gadus _ chalcogrammus",2020,6,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,5197.01789538968,12.5231036362415,2.46336052068968,42.4780653633215,6.72109375489775,-1.1560132192172,0.328682764199747,1.12635788936345,-0.49712566381604,0.714911607768521,0.715432724800977,0.820694459475492,-0.154673856610116,-1.07524744882571,1.94979155866647,7.85606336340018,2.27207715528692,0.85669453718593,3.08440228364982,0.608276540656901,81.4969261203167,0.212545498934561,0.378712453499982,0.417175261959178
"Yellowfin sole - Bering Sea / Aleutian Islands","Yellowfin sole","Bering Sea / Aleutian Islands",NA,"No","No","Limanda _ aspera",2021,6,0,0,1,1,0,"bering_sea","Flatfish",1.65,1.55,1.35,4,1.75,1138.25835234221,24.4422702511731,4.92310948101145,24.5368163540555,2.64460658562031,-1.5098923760538,0.523860558392089,1.39346952725114,-0.564012300214188,0.854329209214717,1.79973126454404,1.49958456235505,-0.463018223067674,-1.28160261149865,2.76358681649925,16.1398937517626,4.47982759467558,0.629381163148131,4.02880387725151,0.568921793276171,45.6620481381081,0.136821867788031,0.141647572579805,0.301762463678944
"Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","Sablefish","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska",NA,"Unknown","Unknown","Anoplopoma _ fimbria",2021,6,0,0,0,1,2,"bering_sea","Other",1.6,1.7,1.25,4,1.7,2216.04238233212,18.8687948344667,4.93307839711094,52.9189978950803,8.92054049822073,-0.934489824916664,0.238941362612051,-2.21075512052846,-0.431022881996402,0.308213637538028,-2.3020060839403,-1.53815437188046,-2.9450919107761,-3.37679343882129,2.33368611974082,10.7339939838687,0.214777134568602,0.0525972253423052,0.109617842572001,0.649844040875618,74.1922720041805,0.216364760481539,0.237296227913357,0.0535680108098846
"Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","Sablefish","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska",NA,"Unknown","Unknown","Anoplopoma _ fimbria",2021,6,0,0,0,1,2,"general","Other Groundfish",2.15,1.25,1.25,3.95,1.85,2216.04238233212,18.8687948344667,4.93307839711094,52.9189978950803,8.92054049822073,-0.934489824916664,0.238941362612051,-2.21075512052846,-0.431022881996402,0.308213637538028,-2.3020060839403,-1.53815437188046,-2.9450919107761,-3.37679343882129,2.33368611974082,10.7339939838687,0.214777134568602,0.0525972253423052,0.109617842572001,0.649844040875618,74.1922720041805,0.216364760481539,0.237296227913357,0.0535680108098846
"Arrowtooth flounder - Gulf of Alaska","Arrowtooth flounder","Gulf of Alaska",NA,"No","No","Atheresthes _ stomias",2021,6,0,0,0,0,0,"bering_sea","Flatfish",1.8,1.12,1.56,4,2,3985.70293825309,23.9943393178376,6.17624306102174,35.6761819177518,9.15821153537775,-2.59588556719163,0.701774667836712,1.25686006007029,-0.869349496707111,0.809967732148959,1.49776449943033,1.30330061558563,-0.472191156814897,-1.43492680790143,2.72744145175711,15.7461302205201,3.68142761417139,0.623634289578482,3.51436923645069,0.419224167269833,71.0656015485192,0.120054401015883,0.169304206794959,0.272949490030881
"Atka mackerel - Gulf of Alaska","Atka mackerel","Gulf of Alaska",0,"Unknown","Unknown","Pleurogrammus _ monopterygius",2016,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,678.057606865002,11.5015393902664,3.37118420796062,33.4429427088781,8.14430388892681,-0.0629753437682365,0.160649394215125,0.130162206107814,-0.00070488651324866,0.513690806745715,-0.573708731137506,-0.11541787803776,-0.812821628473316,-1.60428107882214,1.71057860534083,5.60324235338074,0.890993739386944,0.443604611260432,1.13901312322671,0.999295361860888,41.5761263210045,0.41776421966651,0.501333719572401,0.260131067010092
"Big skate - Gulf of Alaska","Big skate","Gulf of Alaska",NA,"Unknown","Unknown","Raja _ binoculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4664.46549322819,16.4197048714604,7.30444004399567,68.3311936431651,12.4674106527798,-2.48813924075742,0.508979021378175,-1.69396576899114,-1.00304546647153,0.392886704868298,-1.77239434757445,-1.14520683646088,-2.5312711601285,-3.21642418023453,2.48356119053667,13.0187964195892,0.318158104288045,0.0795578252466112,0.18378921126941,0.366760780953501,100.615988071844,0.153558811970335,0.250361146567533,0.0910799109809001
"Dover sole - Gulf of Alaska","Dover sole","Gulf of Alaska",NA,"Unknown","Unknown","Microstomus _ pacificus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1871.92931959265,46.577187652047,10.9061606268773,31.5019456792621,12.1088565327084,-1.78521058502346,0.673679839984593,0.319786767713014,-0.50484880560224,0.727555525382193,0.884048849892321,0.908337393663826,-1.16868706500964,-1.95410055972732,2.99272738496538,20.2613673057408,2.48019551475405,0.310774700504634,1.3768341475387,0.603596828987402,48.5403907104974,0.13593752085509,0.123983111592623,0.168485103813208
"Dusky rockfish - Gulf of Alaska","Dusky rockfish","Gulf of Alaska",NA,"No","No","Sebastes _ variabilis",2021,6,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,337.567110777207,36.2761920295542,7.78861500971357,22.1440131005381,11.6741102393591,-1.04989140008622,0.480926925863607,-0.623499390035333,-0.382771152862688,0.579395645547669,-0.130165633798586,0.236546487119658,-1.78164551016922,-2.25497505637641,2.8207634701088,17.1120145355647,1.2668664472234,0.168360879668237,0.536065250112835,0.681968948071153,30.6779616464467,0.180030134147485,0.132030115224567,0.125437192270382
"Flathead sole - Gulf of Alaska","Flathead sole","Gulf of Alaska",NA,"No","No","Hippoglossoides _ elassodon",2020,6,0,0,0,1,0,"bering_sea","Flatfish",1.9,1.75,1.4,4,1.6,1207.7487202763,20.2435079195597,4.99621176105686,25.1110086013185,4.27299366251759,-2.06100066555343,0.60936372500231,1.86519583247199,-0.735029831626027,0.854398291450654,1.88748004906269,1.54383190320511,0.048553277252719,-1.07049761867996,2.48355158054876,12.4024797309418,4.68249881939676,1.04975129819572,6.4572002916766,0.479491154760724,47.7562214983566,0.13568678561196,0.219074886305891,0.386726809679852
"Giant octopus - Gulf of Alaska","Giant octopus","Gulf of Alaska",1,"Unknown","Unknown","Enteroctopus _ dofleini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Longnose skate - Gulf of Alaska","Longnose skate","Gulf of Alaska",1,"Unknown","Unknown","Raja _ rhina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7954.48421139971,20.9956214807976,8.91547167521429,78.1337782138571,13.2279883320028,-2.67793335745792,0.563266791351861,-1.98699136270961,-1.05264552657963,0.37204077712818,-1.91777734194539,-1.25504555768179,-2.85593228870913,-3.4837138133529,2.69262119429027,14.9971563017503,0.285062861125508,0.0575021874836161,0.137107311697417,0.349013202989563,117.75168192881,0.126292473299045,0.200573886802517,0.061447906996237
"North Pacific spiny dogfish - Gulf of Alaska","North Pacific spiny dogfish","Gulf of Alaska",NA,"Unknown","Unknown","Squalus _ suckleyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6247.78595383837,48.2866017232866,22.9892555006636,82.4788404639283,9.2880465723496,-3.36658078779999,0.740389681018814,-3.35586106683896,-1.14086921022243,0.329442208286033,-2.38735513191036,-1.65728304401168,-4.19707127335996,-4.71187022166313,3.59828209718474,37.1550255309066,0.190656281766829,0.0150395591404527,0.0348793237915665,0.319541152634075,116.351243738387,0.0595713153638506,0.0781587695290468,0.0190029145272938
"Northern rock sole - Central Gulf of Alaska","Northern rock sole","Central Gulf of Alaska",NA,"Unknown","Unknown","Lepidopsetta _ polyxystra",NA,NA,NA,NA,NA,NA,NA,"bering_sea","Flatfish",1.65,1.4,1.45,4,1.45,692.481671925167,16.1771290748839,3.92465754286385,22.9687707427182,6.06819037390809,-1.59838337385117,0.495767423379528,1.58102818629548,-0.624429680214321,0.801627258599252,1.45541730515913,1.27204428089589,-0.0835304285239922,-1.06209212179916,2.27693697410416,10.2005104120242,3.56813939084628,0.919863096169092,4.85995017739713,0.535566785769549,40.6932308127083,0.198863008024282,0.257498515612675,0.410739718247531
