"scientific_name","ComName","Last_assessment","avg_model_category","Catch_gap","Abundance_gap","LH_gap","Comp_gap","Eco_gap","Region","Functional_group","Repro_strat","Hab_spec","Prey_spec","Exposure","Sensitivity"
"Scomberomorus _ cavalla","King mackerel",2020,6,1,1,1,2,0,"sava","Coastal Pelagic",2,1.8,1.8,4,1.8
"Scomberomorus _ commerson","King mackerel",2020,6,1,1,1,2,0,"gulf","Coastal Pelagic",1.64,1.84,1.52,4,1.64
"Scomberomorus _ commerson","King mackerel",2020,6,1,1,1,2,0,"sava","Coastal Pelagic",2,1.8,1.8,4,1.8
"Scomberomorus _ commerson","King mackerel",2020,6,1,1,1,2,0,"gulf","Coastal Pelagic",1.64,1.84,1.52,4,1.64
"Scomberomorus _ commerson","King mackerel",2020,6,1,1,1,2,0,"sava","Coastal Pelagic",2,1.8,1.8,4,1.8
"Scomber _ japonicus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomber _ japonicus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomber _ japonicus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomber _ japonicus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomber _ japonicus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomber _ japonicus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ brasiliensis","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ brasiliensis","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ brasiliensis","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ brasiliensis","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ brasiliensis","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ brasiliensis","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ cavalla","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ cavalla","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ cavalla","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ cavalla","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ cavalla","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ cavalla","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ commerson","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ commerson","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ commerson","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ commerson","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ commerson","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ commerson","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ guttatus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ guttatus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ guttatus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ guttatus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ guttatus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ guttatus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ lineolatus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ lineolatus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ lineolatus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ lineolatus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ lineolatus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ lineolatus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ maculatus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ maculatus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
