"scientific_name","common_name","stock_name","stock_area","overfishing","overfished","assessment_level","last_assessment","catch_gap","abundance_gap","LH_gap","comp_gap","eco_gap","Complexity.in.Reproductive.Strategy","Habitat.Specificity","Prey.Specificity","Exposure","Sensitivity","tmax","tm","rho","Fmsy_over_M","MASPS","margsd","Loo","K","M","r","status","tmax2","margsd2","rho2","Fmsy_over_M2","status2","avg_p_score","avg_s_score","score"
"Carcharhinus _ acronotus","Blacknose shark","Atlantic Small Coastal Shark Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,3,3,1,2,2,1,2,3,1,3,3,2,2,1,2,2,3,2,3,2,2.14285714285714,2,2.07142857142857
"Carcharhinus _ acronotus","Blacknose shark","Blacknose shark - Atlantic","Atlantic","Yes","Yes",2,1,1,3,3,3,3,2,3,3,1,2,2,1,2,3,1,3,3,2,2,1,1,2,3,2,3,1,2.14285714285714,2,2.07142857142857
"Carcharhinus _ acronotus","Blacknose shark","Blacknose shark - Gulf of Mexico","Gulf of Mexico","Unknown","Unknown",2,2,1,3,3,3,2,2,3,3,1,2,2,1,2,3,1,3,3,2,2,1,2,2,3,2,3,2,2.14285714285714,2.15384615384615,2.14835164835165
"Carcharhinus _ falciformis","Silky shark","Silky shark - Western and Central Pacific","Western and Central Pacific","Unknown","Unknown",2,2,1,3,3,3,3,3,3,3,1,2,2,1,2,3,1,3,3,1,2,1,2,2,3,2,3,2,2.14285714285714,2.23076923076923,2.18681318681319
"Carcharhinus _ isodon","Finetooth shark","Atlantic Small Coastal Shark Complex","","Unknown","Unknown",2,2,2,2,2,2,2,3,2,2,1,2,2,1,2,3,1,3,2,2,2,1,2,2,3,2,3,2,2,2,2
"Carcharhinus _ isodon","Finetooth shark","Finetooth shark - Atlantic and Gulf of Mexico","Atlantic and Gulf of Mexico","No","No",2,1,1,3,3,1,3,3,2,2,1,2,2,1,2,3,1,3,2,2,2,1,3,2,3,2,3,3,2,2.15384615384615,2.07692307692308
"Carcharhinus _ limbatus","Blacktip shark","Blacktip shark - Atlantic","Atlantic","No","No",2,3,2,3,2,3,3,2,3,3,1,2,2,1,2,3,1,3,3,2,2,1,3,2,3,2,3,3,2.14285714285714,2.46153846153846,2.3021978021978
"Carcharhinus _ limbatus","Blacktip shark","Blacktip shark - Gulf of Mexico","Gulf of Mexico","No","No",2,2,1,3,3,3,3,2,3,3,1,2,2,1,2,3,1,3,3,2,2,1,3,2,3,2,3,3,2.14285714285714,2.38461538461538,2.26373626373626
"Carcharhinus _ longimanus","Oceanic whitetip shark","Oceanic whitetip shark - Western and Central Pacific","Western and Central Pacific","Unknown","Unknown",2,2,3,3,3,3,3,3,3,3,1,3,2,1,3,3,1,3,3,1,2,1,2,2,3,3,3,2,2.21428571428571,2.53846153846154,2.37637362637363
"Carcharhinus _ obscurus","Dusky shark","Dusky shark - Atlantic and Gulf of Mexico","Atlantic and Gulf of Mexico","Unknown","Unknown",2,2,0,3,3,3,3,3,3,3,1,3,1,1,3,3,1,3,3,1,1,1,2,1,3,3,3,2,2,2.30769230769231,2.15384615384615
"Carcharhinus _ plumbeus","Sandbar shark","Sandbar shark - Atlantic and Gulf of Mexico","Atlantic and Gulf of Mexico","No","Yes",2,2,1,3,3,3,3,3,3,3,1,3,2,1,3,3,1,3,3,1,1,1,1,2,3,3,3,1,2.14285714285714,2.23076923076923,2.18681318681319
"Caulolatilus _ microps","Blueline tilefish","Blueline tilefish - Mid-Atlantic Coast","Mid-Atlantic Coast","Unknown","Unknown",1,2,2,2,3,3,3,2,3,3,1,2,2,1,3,1,2,2,2,2,2,2,2,2,2,3,1,2,2.07142857142857,2.15384615384615,2.11263736263736
