FY,Science Center,FINSS Standard Name,VPASS Project Name,Cruise/Leg/Date/Platform
2023,SWFSC,Aggregated land-based work for salmon,,Cruise: 2022/10/01 ~ NA on NA
2023,SWFSC,Aggregated small-boat work for marine mammals and turtles,,Cruise: 2022/10/01 ~ NA on NA
2023,SWFSC,Aggregated small-boat work for salmon and sturgeon,,Cruise: 2022/10/01 ~ NA on NA
2023,SWFSC,CalCOFI_Fall,,Cruise: 2022/11/05 ~ 2022/11/20 on Sally Ride
2023,SWFSC,CalCOFI_Spring,California Cooperative Fisheries Investigations (CalCOFI) Spring,Cruise: 2023/03/18 ~ 2023/04/24 on Bell M. Shimada
2023,SWFSC,CalCOFI_Summer,,Cruise: 2023/07/04 ~ 2023/07/18 on Sally Ride
2023,SWFSC,CalCOFI_Winter,California Cooperative Fisheries Investigations (CalCOFI) Winter,Cruise: 2023/01/06 ~ 2023/01/26 on Reuben Lasker
2023,SWFSC,Coastal Pelagic Species (CPS)_Summer,West Coast Pelagic Fish Survey,"Cruise: 2023/07/17 ~ 2023/07/30 on Reuben Lasker
Cruise: NA ~ NA on Reuben Lasker
Cruise: 2023/09/05 ~ 2023/09/24 on Reuben Lasker
Cruise: 2023/07/08 ~ NA on Reuben Lasker
Cruise: 2023/07/21 ~ NA on Reuben Lasker"
2023,SWFSC,Juvenile Rockfish Survey,Juvenile Rockfish Survey,"Cruise: 2023/05/23 ~ 2023/06/01 on Reuben Lasker
Cruise: 2023/06/15 ~ 2023/06/23 on Reuben Lasker"
2023,SWFSC,REFOCUS - California Current glider transects,,Cruise: 2022/10/01 ~ NA on Glider
2023,SWFSC,Trinidad Head survey line,,Cruise: 2022/10/01 ~ NA on Coral Sea
2023,SWFSC,U.S. Antarctic Marine Living Resources (AMLR) Program,,Cruise: 2022/11/22 ~ 2023/02/25 on Nathaniel Palmer
2023,SWFSC,US West Coast Marine Turtle Assessment Aerial Survey,,"Cruise: NA ~ NA on N46RF, twin otter"
2023,SWFSC,White Abalone Survey,,Cruise: 2022/10/01 ~ NA on Outer Limits
