"Scientific name","Stock name","Jurisdiction","FMP","Science Center","Area","Productivity score","Susceptibility score","Vulnerability score"
"Parophrys vetulus","Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.33,3,2.11
"Limanda proboscidea","Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.33,3,2.11
"Clidoderma asperrimum","Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.33,3,2.11
"Limanda sakhalinensis","Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.33,3,2.11
"Triglops scepticus","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.33,3,2.11
"Squalus suckleyi","North Pacific spiny dogfish - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.17,2,2.09
"Squalus suckleyi","Gulf of Alaska Shark Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.17,2,2.09
"Coryphaenoides acrolepis","Pacific grenadier - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.17,2,2.09
"Scorpaenichthys marmoratus","Cabezon - Washington","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.5,3,2.06
"Hemilepidotus jordani","Gulf of Alaska Sculpin Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.5,3,2.06
"Isopsetta isolepis","Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.5,3,2.06
"Pleuronichthys decurrens","Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.5,3,2.06
"Hemilepidotus jordani","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.5,3,2.06
