"Stock.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","Common.Name","Stock.Area","Assessment.Level","Model.Category","F.Flimit","F.Fmsy","B.Blimit","B.Bmsy","Genus","Species","overfishing","overfished","scientific_name","Mean.Gap","Exposure","Sensitivity","Loo","tmax","tm","M","h","r","Fmsy_over_M","Assessment.Level_scored","Model.Category_scored","status","scored_gap","avg_p_score","avg_s_score","distance","family","phylopic_uuid","Survey.Ecosystem","survey"
"Haddock - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Haddock","Eastern Georges Bank",NA,6,1.444000006,1.444000006,NA,NA,"Melanogrammus","aeglefinus","Unknown","Unknown","Melanogrammus aeglefinus",NA,1,3,2,2,2,2,2,2,3,NA,1,NA,NA,2.142857143,1.666666667,1.085881357,"Gadidae","0a3f06b7-a093-46e5-9298-268768d83046","Northeast Shelf","DFO Canada bottom trawl"
"Red hake - Gulf of Maine / Northern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Red hake","Gulf of Maine / Northern Georges Bank",NA,2,NA,NA,NA,NA,"Urophycis","chuss","Unknown","Unknown","Urophycis chuss",0,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.333333333,1.666666667,"Gadidae","634a401e-52eb-4920-ae8f-09adc7855503","Northeast Shelf","Bottom Trawl Survey_Fall"
"Red hake - Gulf of Maine / Northern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Red hake","Gulf of Maine / Northern Georges Bank",NA,2,NA,NA,NA,NA,"Urophycis","chuss","Unknown","Unknown","Urophycis chuss",0,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.333333333,1.666666667,"Gadidae","634a401e-52eb-4920-ae8f-09adc7855503","Northeast Shelf","Bottom Trawl Survey_Spring"
"Red hake - Southern Georges Bank / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Red hake","Southern Georges Bank / Mid-Atlantic",1,2,NA,NA,NA,NA,"Urophycis","chuss","Unknown","Unknown","Urophycis chuss",0,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.333333333,1.666666667,"Gadidae","634a401e-52eb-4920-ae8f-09adc7855503","Northeast Shelf","Bottom Trawl Survey_Fall"
"Red hake - Southern Georges Bank / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Red hake","Southern Georges Bank / Mid-Atlantic",1,2,NA,NA,NA,NA,"Urophycis","chuss","Unknown","Unknown","Urophycis chuss",0,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.333333333,1.666666667,"Gadidae","634a401e-52eb-4920-ae8f-09adc7855503","Northeast Shelf","Bottom Trawl Survey_Spring"
"Silver hake - Gulf of Maine / Northern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Silver hake","Gulf of Maine / Northern Georges Bank",1,2,0.039999999,0.039999999,8.921999931,4.460999966,"Merluccius","bilinearis","No","No","Merluccius bilinearis",0.25,NA,NA,2,2,2,3,1,2,2,NA,3,1,1,2,1.75,1.25,"Merlucciidae","da83bbce-c36f-4b30-a199-32491b04e2d0","Northeast Shelf","Bottom Trawl Survey_Fall"
"Silver hake - Gulf of Maine / Northern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Silver hake","Gulf of Maine / Northern Georges Bank",1,2,0.039999999,0.039999999,8.921999931,4.460999966,"Merluccius","bilinearis","No","No","Merluccius bilinearis",0.25,NA,NA,2,2,2,3,1,2,2,NA,3,1,1,2,1.75,1.25,"Merlucciidae","da83bbce-c36f-4b30-a199-32491b04e2d0","Northeast Shelf","Bottom Trawl Survey_Spring"
"Silver hake - Southern Georges Bank / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Silver hake","Southern Georges Bank / Mid-Atlantic",1,2,0.112999998,0.112999998,1.256000042,0.628000021,"Merluccius","bilinearis","Unknown","Unknown","Merluccius bilinearis",0.25,NA,NA,2,2,2,3,1,2,2,NA,3,NA,1,2,2,1.414213562,"Merlucciidae","da83bbce-c36f-4b30-a199-32491b04e2d0","Northeast Shelf","Bottom Trawl Survey_Fall"
"Silver hake - Southern Georges Bank / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Silver hake","Southern Georges Bank / Mid-Atlantic",1,2,0.112999998,0.112999998,1.256000042,0.628000021,"Merluccius","bilinearis","Unknown","Unknown","Merluccius bilinearis",0.25,NA,NA,2,2,2,3,1,2,2,NA,3,NA,1,2,2,1.414213562,"Merlucciidae","da83bbce-c36f-4b30-a199-32491b04e2d0","Northeast Shelf","Bottom Trawl Survey_Spring"
"Windowpane - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Windowpane","Gulf of Maine / Georges Bank",NA,2,NA,NA,NA,NA,"Scophthalmus","aquosus","Unknown","Unknown","Scophthalmus aquosus",0.75,1,3,3,2,2,3,3,3,3,NA,3,NA,1,2.714285714,2,1.040015698,"Scophthalmidae","1ca7e4f6-59f0-4dc8-93fa-81bcfd786423","Northeast Shelf","Bottom Trawl Survey_Fall"
"Windowpane - Southern New England / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Windowpane","Southern New England / Mid-Atlantic",NA,2,NA,0.611999989,1.703999996,0.851999998,"Scophthalmus","aquosus","Unknown","Unknown","Scophthalmus aquosus",1.25,1,3,3,2,2,3,3,3,3,NA,3,NA,1,2.714285714,2,1.040015698,"Scophthalmidae","1ca7e4f6-59f0-4dc8-93fa-81bcfd786423","Northeast Shelf","Bottom Trawl Survey_Fall"
"Yellowtail flounder - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Yellowtail flounder","Georges Bank",NA,2,0.090000004,0.090000004,NA,NA,"Limanda","ferruginea","Unknown","Unknown","Limanda ferruginea",0.5,NA,NA,3,2,2,2,3,2,3,NA,3,NA,1,2.333333333,2.333333333,1.490711985,"Pleuronectidae","4db55c0c-77b6-48f8-b7b6-1e5ff9c73787","Northeast Shelf","Bottom Trawl Survey_Fall"
"Yellowtail flounder - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Yellowtail flounder","Georges Bank",NA,2,0.090000004,0.090000004,NA,NA,"Limanda","ferruginea","Unknown","Unknown","Limanda ferruginea",0.5,NA,NA,3,2,2,2,3,2,3,NA,3,NA,1,2.333333333,2.333333333,1.490711985,"Pleuronectidae","4db55c0c-77b6-48f8-b7b6-1e5ff9c73787","Northeast Shelf","Bottom Trawl Survey_Spring"
"Yellowtail flounder - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Yellowtail flounder","Georges Bank",NA,2,0.090000004,0.090000004,NA,NA,"Limanda","ferruginea","Unknown","Unknown","Limanda ferruginea",0.5,NA,NA,3,2,2,2,3,2,3,NA,3,NA,1,2.333333333,2.333333333,1.490711985,"Pleuronectidae","4db55c0c-77b6-48f8-b7b6-1e5ff9c73787","Northeast Shelf","DFO Canada bottom trawl"
"Little skate - Georges Bank / Southern New England","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf","Little skate","Georges Bank / Southern New England",NA,2,1.004999995,NA,1.159999967,0.579999983,"Leucoraja","erinacea","Unknown","Unknown","Leucoraja erinacea",1.25,NA,NA,3,2,1,2,1,1,1,NA,3,NA,1,1.666666667,1.666666667,1.490711985,"Rajidae","f1c15c22-db53-4753-837e-5bb439c591fa","Northeast Shelf","Bottom Trawl Survey_Spring"
"Smooth skate - Gulf of Maine","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf","Smooth skate","Gulf of Maine",NA,2,0.587000012,NA,1.332999945,0.69599998,"Malacoraja","senta","Unknown","Unknown","Malacoraja senta",1.25,NA,NA,2,2,1,2,1,1,2,NA,3,NA,1,1.5,2,1.802775638,"Rajidae","64a73abe-8561-4adb-93f5-1a650294ac6b","Northeast Shelf","Bottom Trawl Survey_Fall"
"Thorny skate - Gulf of Maine","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf","Thorny skate","Gulf of Maine",NA,2,0.986999989,NA,0.071000002,0.035,"Amblyraja","radiata","Unknown","Unknown","Amblyraja radiata",1.25,NA,NA,2,2,1,1,2,1,2,NA,3,NA,1,1.5,2,1.802775638,"Rajidae","0596f8ce-e9a5-4481-9982-ad7599fc2cba","Northeast Shelf","Bottom Trawl Survey_Fall"
"Winter skate - Georges Bank / Southern New England","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf","Winter skate","Georges Bank / Southern New England",NA,2,1.014999986,NA,2.243000031,1.120000005,"Leucoraja","ocellata","Unknown","Unknown","Leucoraja ocellata",1.25,NA,NA,2,2,1,2,1,1,1,NA,3,NA,1,1.5,1.666666667,1.6414763,"Rajidae","525c6fd5-3ff0-4ad6-892a-7c35c774c2b1","Northeast Shelf","Bottom Trawl Survey_Fall"
